STATE_ID,BLOCK_ID,hab_num,hab_outside,osm_num,greater,osm_near,osm_far,hab_near,hab_far
7,6999,134,0,134,hab,133,1,130,4
7,7000,130,0,127,hab,126,1,128,2
7,53,85,0,85,hab,80,5,82,3
7,472,107,0,135,osm,120,15,105,2
7,484,89,0,86,hab,78,8,84,5
7,1381,150,0,165,osm,157,8,147,3
7,2353,108,0,137,osm,120,17,99,9
7,3599,109,0,130,osm,119,11,105,4
7,4249,109,0,123,osm,112,11,106,3
7,4486,106,0,99,hab,91,8,99,7
7,5293,134,0,123,hab,117,6,124,10
7,386,438,0,362,hab,304,58,359,79
7,1691,168,0,160,hab,141,19,157,11
7,1765,273,1,465,osm,392,73,271,2
7,2451,174,0,173,hab,147,26,157,17
7,881,162,0,4,hab,4,0,8,154
7,2735,222,0,212,hab,189,23,207,15
7,3267,228,0,192,hab,178,14,213,15
7,3700,159,1,210,osm,164,46,140,19
7,655,142,3,54,hab,38,16,51,91
7,4606,267,0,460,osm,386,74,256,11
7,209,294,0,0,hab,0,0,0,294
7,800,117,0,10,hab,7,3,10,107
7,1717,148,0,20,hab,16,4,17,131
7,3076,381,381,51,osm,0,51,0,381
7,7024,288,2,13,hab,6,7,14,274
7,3426,156,0,86,hab,70,16,88,68
7,2726,132,0,14,hab,14,0,14,118
7,4184,148,148,7,osm,0,7,0,148
7,5254,189,0,167,hab,164,3,182,7
7,4507,333,1,308,hab,273,35,293,40
7,2869,188,2,155,hab,153,2,172,16
7,2917,222,1,197,hab,187,10,201,21
7,3701,169,0,268,osm,189,79,153,16
7,1664,194,1,172,hab,160,12,164,30
7,6997,219,0,247,osm,225,22,210,9
7,3899,300,0,233,hab,227,6,286,14
7,4993,162,0,165,osm,154,11,151,11
7,430,487,2,134,hab,122,12,336,151
7,6991,172,0,191,osm,180,11,168,4
7,1185,127,0,71,hab,66,5,67,60
7,4595,147,1,162,osm,148,14,142,5
7,1269,226,226,173,osm,0,173,0,226
7,1271,219,219,215,osm,0,215,0,219
7,6992,249,0,247,hab,236,11,240,9
7,1359,192,192,236,osm,5,231,4,188
7,1665,107,1,102,hab,95,7,102,5
7,6993,166,1,163,hab,160,3,161,5
7,6994,129,1,120,hab,120,0,123,6
7,1546,172,0,164,hab,147,17,154,18
7,1713,81,0,90,osm,75,15,72,9
7,2907,102,0,182,osm,96,86,63,39
7,5735,105,0,94,hab,76,18,70,35
7,140,205,4,24,hab,24,0,30,175
7,661,97,0,1,hab,1,0,3,94
7,3339,176,3,3,hab,3,0,5,171
7,3553,135,1,7,hab,5,2,9,126
7,6169,143,143,433,osm,0,433,0,143
7,7025,242,0,5,hab,3,2,7,235
7,7020,130,0,1,hab,1,0,1,129
7,7019,122,1,1,hab,1,0,1,121
7,3333,232,0,288,osm,246,42,223,9
7,2980,158,0,165,osm,156,9,146,12
7,1921,113,0,138,osm,124,14,105,8
7,1572,456,456,4,osm,0,4,0,456
7,5889,139,2,170,osm,161,9,131,8
7,5404,273,0,299,osm,292,7,263,10
7,4936,144,0,142,hab,134,8,107,37
7,4885,158,0,184,osm,178,6,151,7
7,565,229,1,256,osm,252,4,223,6
7,6986,189,0,158,hab,154,4,180,9
7,6987,137,0,134,hab,125,9,127,10
7,6988,188,0,148,hab,145,3,176,12
7,6989,189,0,172,hab,166,6,180,9
7,4392,205,2,3,hab,3,0,8,197
7,4179,393,1,3,hab,3,0,13,380
7,6236,156,0,9,hab,7,2,7,149
7,925,170,0,5,hab,4,1,7,163
7,781,228,2,8,hab,5,3,8,220
7,3213,103,1,7,hab,2,5,2,101
7,2826,73,1,17,hab,11,6,15,58
7,1902,140,0,16,hab,12,4,14,126
7,1437,99,2,3,hab,3,0,4,95
7,2338,379,5,91,hab,84,7,237,142
7,6983,149,1,205,osm,152,53,135,14
13,5327,24,2,5,hab,4,1,5,19
13,3954,29,2,7,hab,6,1,8,21
13,1826,47,7,2,hab,0,2,0,47
13,2835,17,3,2,hab,2,0,2,15
13,2975,40,8,4,hab,4,0,4,36
13,4224,57,2,1,hab,1,0,1,56
